name,games played,minutes,pts,reb,asts,turnover,fgm
BOSTIJI01 ,4,48,26,16,3,3,12
BOSTOLA01 ,13,125,56,39,2,8,24
BOSWETO01 ,366,7046,2821,1709,591,474,1096
BOUMTRU01 ,44,275,43,57,6,14,14
BOVENDO01 ,195,3355,1763,553,393,0,561
BOWDLCA01 ,142,1380,424,272,29,43,163
BOWENBR01 ,873,24060,5290,2428,1089,646,1945
BOWENRY01 ,506,6493,1315,1058,250,168,543
BOWENTO01 ,211,3590,1132,1007,134,194,473
BOWIEAN01 ,461,8350,2945,1021,840,479,1247
BOWIESA01 ,511,14098,5564,3845,1075,978,2127
BOWLIOR01 ,11,90,21,29,1,6,9
BOWMAIR01 ,17,68,15,5,9,2,7
BOWMANA01 ,18,217,43,87,13,17,19
BOWMANA01 ,243,2171,702,791,162,0,298
BOYCEDO01 ,30,195,79,25,16,22,30
BOYDDE01  ,5,40,6,2,7,6,3
BOYDFR01  ,327,7723,2784,533,986,20,1165
BOYDKE01  ,6,25,19,5,2,0,7
BOYKIEA01 ,520,10875,4904,736,1764,628,1736
BOYKOHA01 ,109,0,1105,220,209,0,414
BOYNEWI01 ,177,3035,1478,363,207,284,598
BozemCe01 ,23,198,26,23,9,9,11
BRACEST01 ,187,2853,1141,291,408,0,487
BRADDGA01 ,210,4861,2962,1306,207,256,1060
BRADDGA01 ,44,350,144,92,20,0,48
BRADLAL01 ,99,1139,440,151,74,80,184
BRADLAL02 ,39,331,137,65,11,28,54
BRADLBI01 ,742,22799,9217,2354,2533,0,3927
BRADLBI02 ,58,521,218,47,54,50,82
BRADLCH01 ,110,910,347,119,55,87,127
BRADLDU01 ,600,10192,3131,1098,1147,682,1222
BRADLJI01 ,98,1913,687,528,128,133,289
BRADLJO01 ,46,0,87,0,36,0,36
BRADLMI01 ,173,2016,483,591,93,113,218
BRADLSH01 ,832,19532,6752,5268,573,1059,2713
BRADTMA01 ,36,251,59,68,7,9,25
BRAGGMA01 ,53,369,131,79,8,26,54
BRAGGTO01 ,22,178,46,51,7,15,19
BRAMLAJ01 ,8,61,8,22,0,3,4
BRANCAD01 ,130,1429,834,253,96,125,331
BRANDEL01 ,643,24426,12852,6520,1674,1617,4920
BRANDTE01 ,724,21546,9994,2174,4407,1419,3908
BRANNBO01 ,338,6576,2455,1944,699,0,887
BRANSBR01 ,72,856,391,206,52,58,152
BRANSJE01 ,78,1892,1086,541,67,115,376
BRANSJE01 ,5,14,5,9,1,0,1
BRASCJI01 ,30,359,110,39,33,0,36
BRATZMI01 ,586,10613,4081,1030,1851,854,1578
BRAUNCA01 ,788,18409,10625,2122,2892,0,3912
BREAUTI01 ,102,940,299,96,41,47,108
BREMEJR01 ,100,1946,646,181,215,83,214
BRENNPE01 ,16,136,40,31,6,0,13
BRENNTO01 ,11,52,10,5,2,0,5
BREUERA01 ,681,12499,4599,2986,616,681,1898
BreweCo01 ,94,2113,552,342,136,102,219
BREWEJA01 ,54,468,89,50,56,32,35
BREWEJI01 ,703,15936,4099,4458,1038,332,1785
BREWERO01 ,501,12892,5971,971,920,706,2497
BreweRo02 ,213,5364,2285,593,337,203,877
BREZEPR01 ,321,6106,2433,1302,178,272,1003
BRIANFR01 ,438,7616,5379,903,1138,0,1765
BRICKFR01 ,731,16278,7302,3410,1384,1372,2873
BRIDGBI01 ,926,30878,11012,11054,2553,0,4181
BRIDGJU01 ,849,21257,11517,2995,2066,1169,4801
BRIGHAL01 ,58,0,567,0,60,0,223
BRINDAU01 ,12,0,34,0,1,0,14
BRISKJO01 ,126,2626,1498,498,225,0,590
BRISKJO01 ,205,7327,5349,1654,562,210,2088
BRISTAL01 ,47,882,328,174,121,63,125
BRISTAL01 ,648,13277,5122,2613,2098,800,1977
BRITTDA01 ,2,9,4,2,3,2,2
BRITTMI01 ,38,248,63,53,7,22,26
BRITTTY01 ,11,84,28,15,12,0,13
BRITTWA01 ,7,16,9,4,2,1,3
BROGAJI01 ,121,1493,619,182,222,126,256
BROKAGA01 ,241,4724,1928,407,715,12,731
BrookAa01 ,131,2606,1158,213,325,169,409
BROOKCL01 ,8,59,21,12,1,0,8
BROOKKE01 ,126,1031,417,141,48,69,172
BROOKMI01 ,319,9372,4086,2001,818,638,1673
BROOKPR01 ,61,0,476,0,137,0,187
BROOKSC01 ,680,9237,3317,685,1608,451,1233
BrownAn01 ,75,598,197,178,11,48,82
BROWNBO01 ,82,0,832,0,115,0,313
BrownBo02 ,68,934,361,52,117,63,141
BROWNCH01 ,693,11948,4122,2147,549,537,1711
BROWNDA01 ,3,0,4,0,0,0,2
BROWNDA02 ,39,350,108,52,19,31,43
BROWNDE01 ,608,16843,6758,1556,2223,920,2540
BROWNDE02 ,416,7962,2956,1158,615,441,1039
BrownDe03 ,68,711,140,69,119,48,50
BROWNER01 ,3,21,3,6,0,3,1
BROWNFR01 ,963,24422,14018,2637,3160,840,6006
BROWNGE01 ,1,6,1,1,0,0,0
BROWNGE02 ,33,236,80,22,31,22,33
BROWNHA01 ,54,0,264,0,39,0,95
BROWNJI01 ,35,0,50,0,8,0,18
BROWNJO01 ,486,10108,3614,2126,703,234,1348
BROWNKE01 ,143,1934,509,347,103,64,203
BROWNKW01 ,462,10559,3256,2575,476,637,1224
BROWNLA01 ,376,11309,4229,1005,2509,903,1384
BROWNLE01 ,5,0,0,0,0,0,0
BROWNLE02 ,2,5,2,2,0,1,0
BROWNMA01 ,27,229,92,22,23,16,32
BROWNMI01 ,626,10961,3130,2762,424,643,1126
BROWNMY01 ,4,23,9,3,6,4,4
BROWNPJ01 ,1089,33818,9870,8404,1661,1342,3852
BROWNRA01 ,655,11533,3148,1173,1420,725,1275
BROWNRA02 ,16,56,16,15,4,6,8
BROWNRI01 ,340,4487,1482,1200,119,301,614
BROWNRO01 ,605,21454,10498,3758,2315,1033,3860
BROWNRO02 ,162,1860,450,605,93,143,185
BROWNRO02 ,77,818,135,230,25,0,51
BrownSh01 ,90,895,380,84,63,75,147
BROWNST01 ,34,141,104,17,10,0,41
BROWNTI01 ,134,1654,527,166,266,143,202
BROWNTO01 ,360,6006,2163,766,563,392,860
BRUNDST01 ,16,128,37,26,3,6,15
BRUNKBR01 ,3,56,25,13,3,5,6
BRUNSGE01 ,13,236,86,8,36,20,31
BRUNSRI01 ,337,4535,1090,448,876,356,397
BRYANEM01 ,566,11451,3722,1593,1700,0,1501
BRYANJO01 ,606,12845,5252,2441,1049,935,2093
BRYANKO01 ,948,34538,23820,5018,4402,2752,8256
BRYANMA01 ,797,13480,4313,2993,491,661,1739
BRYANWA01 ,102,1395,323,374,112,71,134
BRYNTO01  ,3,10,4,2,0,1,0
BUCCIGE01 ,33,237,128,37,15,22,50
BUCKHJO01 ,65,740,375,265,43,0,153
BUCKNCL01 ,68,723,411,240,44,0,163
BUCKNGR01 ,570,10893,2878,1593,719,394,1120
BUCKNQU01 ,719,16245,5929,1969,3114,1382,2546
BUCKNST01 ,18,75,23,7,10,11,9
