,college,count
980,Hellenic,1
996,Maryland-Baltimore,1
997,Livingston State,1
1012,Oberlin,1
998,Massachusetts-Boston,1
1011,U.S. International,1
1010,Framingham State,1
933,Nasson,1
1009,Bloomsburg State,1
1008,Southern Utah State,1
932,J.C. Smith,1
1007,Cal State-Northridge,1
1261,Tokyo Apache (Japan),1
930,Columbus (GA),1
913,Prairie View A&M,1
1260,Fuenlabrada (Spain),1
1264,Al Rayyan (Qatar),1
964,Yeshiva,1
1006,Cal State-Long Beach,1
1005,None (Brazil),1
965,Kings (PA),1
914,McKendree,1
1001,Longwood (VA),1
1259,Partizan (Serbia),1
1262,Oakland,1
967,Texas A&I,1
1000,East Oregon State,1
999,Florida International,1
1025,Union (KY),1
1080,Mount Zion (NC) Academy,1
1026,Akademik Varna (Bulgaria),1
1164,Cal State Fullerton,1
1153,Prentiss HS (MS),1
1154,Oak Hill Academy HS (VA),1
1155,St. Benedict's Prep (NJ),1
1156,South Kent HS (CT),1
1158,Varese (Italy),1
1160,Puerto Rico,1
1161,Southeastern,1
1162,Florida St.,1
1163,South Korea,1
1165,Morehead St.,1
1151,Bakersfield (CA) HS,1
1227,IUPUI,1
1226,Le Mans (France),1
1166,Denmark,1
1167,Jakutsk (Russia),1
1168,"Seattle Prep. School (Seattle, WA) HS",1
1225,L'Hospitalet (Spain),1
1224,Hy?res-Toulon (France),1
1169,"St. Joseph HS (Metuchen, NJ) HS",1
1170,Unicaja Malaga (Spain),1
1152,Lincoln HS (NY),1
1150,Skonto Riga (Latvia),1
1027,College of Idaho,1
1139,Ozen HS (TX),1
1131,Ourense (Spain),1
1236,Lottomatica Roma (Italy),1
1132,Tau Ceramica (Spain),1
1133,Central Connecticut State,1
1134,St. Mary / St. Vincent (Ohio) HS,1
900,Florida Tech,1
1136,Central Mich,1
1137,Starkville HS (MS),1
1138,Westbury Christian HS (TX),1
1234,Idaho Stampede (D-League),1
1149,Peoria Central HS (IL),1
1232,KK Zagreb (Croatia),1
1231,Cairns Taipans (Australia),1
1228,Panathinaikos (Greece),1
1143,Senegal,1
1144,Central Park Christian HS (Ala),1
1145,Miami Fla,1
1146,Arizona St,1
1147,Bosnia,1
1148,Southwest Christian Acad. (GA),1
1171,"Gulf Shores Academy (Houston, TX) HS",1
1173,Pau-Orthez (France),1
1223,Olimpia Milano (Italy),1
1203,WTC Cornell? (Spain),1
1215,SK Cherkassy (Ukraine),1
1194,Verviers-Pepinster (Belgium),1
1196,BC Kyiv (Ukraine),1
1197,Adecco Estudiantes (Spain),1
1198,Gran Canaria (Spain),1
1199,Partizan Belgrade (Serbia),1
1200,Objetivo S?o Carlos (Brazil),1
1201,Hapoel Galil Elyon (Israel),1
1202,Dynamo St. Petersburg (Russia),1
1205,Union Bank Lagos (Nigeria),1
1174,Le Havre (France),1
1206,ASA BH Telecom (Bosnia and Herzegovina),1
